"annotation_id","annotator","bbox","created_at","id","label","lead_time","ocr","transcription","updated_at"
48,"1","[{""x"":1.4178775869660942,""y"":10.568031704095116,""width"":98.58212241303387,""height"":88.37516512549531,""rotation"":0,""original_width"":30,""original_height"":46}]","2024-11-11T08:08:36.256924Z",21,"[{""x"":1.4178775869660942,""y"":10.568031704095116,""width"":98.58212241303387,""height"":88.37516512549531,""rotation"":0,""labels"":[""Ҳ""],""original_width"":30,""original_height"":46}]",26.58,"/data/upload/8/20515c71-26.jpg","Ҳ","2024-11-11T08:08:36.256974Z"
36,"1","[{""x"":12.329370321444298,""y"":10.303830911492733,""width"":87.6706296785557,""height"":82.56274768824305,""rotation"":0,""original_width"":21,""original_height"":28}]","2024-11-11T08:04:02.156039Z",22,"[{""x"":12.329370321444298,""y"":10.303830911492733,""width"":87.6706296785557,""height"":82.56274768824305,""rotation"":0,""labels"":[""ғ""],""original_width"":21,""original_height"":28}]",17.685,"/data/upload/8/814e2136-25.jpg","ғ","2024-11-11T08:04:02.156099Z"
37,"1","[{""x"":9.207397622192866,""y"":13.606340819022458,""width"":88.03170409511227,""height"":68.29590488771466,""rotation"":0,""original_width"":20,""original_height"":34}]","2024-11-11T08:04:21.558130Z",23,"[{""x"":9.207397622192866,""y"":13.606340819022458,""width"":88.03170409511227,""height"":68.29590488771466,""rotation"":0,""labels"":[""ғ""],""original_width"":20,""original_height"":34}]",17.665,"/data/upload/8/2b6af4bf-24.jpg","ғ","2024-11-11T08:04:21.558178Z"
38,"1","[{""x"":8.201711561656424,""y"":9.247027741083222,""width"":91.79828843834358,""height"":86.26155878467634,""rotation"":0,""original_width"":23,""original_height"":34}]","2024-11-11T08:04:54.805891Z",24,"[{""x"":8.201711561656424,""y"":9.247027741083222,""width"":91.79828843834358,""height"":86.26155878467634,""rotation"":0,""labels"":[""ҳ""],""original_width"":23,""original_height"":34}]",75.22,"/data/upload/8/4d728bcf-23.jpg","ҳ","2024-11-11T08:22:36.903581Z"
39,"1","[{""x"":10.051117109873067,""y"":7.26552179656539,""width"":89.94888289012694,""height"":87.31836195508586,""rotation"":0,""original_width"":23,""original_height"":35}]","2024-11-11T08:05:16.455892Z",25,"[{""x"":10.051117109873067,""y"":7.26552179656539,""width"":89.94888289012694,""height"":87.31836195508586,""rotation"":0,""labels"":[""ҳ""],""original_width"":23,""original_height"":35}]",19.066,"/data/upload/8/612aba24-22.jpg","ҳ","2024-11-11T08:05:16.455941Z"
43,"1","[{""x"":5.812417437252312,""y"":10.700132100396301,""width"":94.18758256274769,""height"":89.2998678996037,""rotation"":0,""original_width"":30,""original_height"":44}]","2024-11-11T08:06:29.827513Z",26,"[{""x"":5.812417437252312,""y"":10.700132100396301,""width"":94.18758256274769,""height"":89.2998678996037,""rotation"":0,""labels"":[""Қ""],""original_width"":30,""original_height"":44}]",9.399,"/data/upload/8/8e29d4e4-21.jpg","Қ","2024-11-11T08:06:29.827576Z"
40,"1","[{""x"":4.135316753776348,""y"":11.756935270805812,""width"":95.86468324622365,""height"":82.43064729194187,""rotation"":0,""original_width"":23,""original_height"":36}]","2024-11-11T08:05:40.669806Z",27,"[{""x"":4.135316753776348,""y"":11.756935270805812,""width"":95.86468324622365,""height"":82.43064729194187,""rotation"":0,""labels"":[""қ""],""original_width"":23,""original_height"":36}]",15.524,"/data/upload/8/67ca355f-20.jpg","қ","2024-11-11T08:05:40.669866Z"
41,"1","[{""x"":9.701453104359313,""y"":7.26552179656539,""width"":87.85204755614267,""height"":87.58256274768823,""rotation"":0,""original_width"":25,""original_height"":34}]","2024-11-11T08:05:52.680613Z",28,"[{""x"":9.701453104359313,""y"":7.26552179656539,""width"":87.85204755614267,""height"":87.58256274768823,""rotation"":0,""labels"":[""қ""],""original_width"":25,""original_height"":34}]",10.45,"/data/upload/8/2d4ac76e-19.jpg","қ","2024-11-11T08:05:52.680670Z"
42,"1","[{""x"":11.253302509907531,""y"":12.417437252311759,""width"":88.74669749009247,""height"":83.88375165125497,""rotation"":0,""original_width"":32,""original_height"":47}]","2024-11-11T08:06:14.276750Z",29,"[{""x"":11.253302509907531,""y"":12.417437252311759,""width"":88.74669749009247,""height"":83.88375165125497,""rotation"":0,""labels"":[""Қ""],""original_width"":32,""original_height"":47}]",16.687,"/data/upload/8/82985233-18.jpg","Қ","2024-11-11T08:06:14.276800Z"
44,"1","[{""x"":0,""y"":3.302509907529723,""width"":99.99999999999999,""height"":96.03698811096433,""rotation"":0,""original_width"":22,""original_height"":43}]","2024-11-11T08:07:07.215751Z",30,"[{""x"":0,""y"":3.302509907529723,""width"":99.99999999999999,""height"":96.03698811096433,""rotation"":0,""labels"":[""ў""],""original_width"":22,""original_height"":43}]",25.853,"/data/upload/8/f2a7601d-17.jpg","ў","2024-11-11T08:07:07.215801Z"
49,"1","[{""x"":13.119456501226647,""y"":3.302509907529723,""width"":84.52915644461218,""height"":91.94187582562748,""rotation"":0,""original_width"":35,""original_height"":44}]","2024-11-11T08:08:58.146467Z",31,"[{""x"":13.119456501226647,""y"":3.302509907529723,""width"":84.52915644461218,""height"":91.94187582562748,""rotation"":0,""labels"":[""Ҳ""],""original_width"":35,""original_height"":44}]",24.278,"/data/upload/8/d970dda4-16.jpg","Ҳ","2024-11-11T08:09:09.401050Z"
45,"1","[{""x"":4.491413474240423,""y"":0,""width"":93.26287978863937,""height"":90.88507265521797,""rotation"":0,""original_width"":23,""original_height"":46}]","2024-11-11T08:07:24.130777Z",32,"[{""x"":4.491413474240423,""y"":0,""width"":93.26287978863937,""height"":90.88507265521797,""rotation"":0,""labels"":[""ў""],""original_width"":23,""original_height"":46}]",15.176,"/data/upload/8/cf1c37f2-15.jpg","ў","2024-11-11T08:07:24.130833Z"
32,"1","[{""x"":18.028832347366606,""y"":62.48348745046235,""width"":69.1516857159267,""height"":36.32760898282696,""rotation"":0,""original_width"":23,""original_height"":43}]","2024-11-11T08:02:15.692391Z",33,"[{""x"":18.028832347366606,""y"":62.48348745046235,""width"":69.1516857159267,""height"":36.32760898282696,""rotation"":0,""labels"":[""„""],""original_width"":23,""original_height"":43}]",13.685,"/data/upload/8/c56cf65a-14.jpg","„","2024-11-11T08:02:15.692448Z"
33,"1","[{""x"":31.043593130779396,""y"":66.71070013210041,""width"":68.9564068692206,""height"":28.269484808454422,""rotation"":0,""original_width"":21,""original_height"":47}]","2024-11-11T08:02:26.976632Z",34,"[{""x"":31.043593130779396,""y"":66.71070013210041,""width"":68.9564068692206,""height"":28.269484808454422,""rotation"":0,""labels"":[""„""],""original_width"":21,""original_height"":47}]",9.303,"/data/upload/8/d0c3faad-13.jpg","„","2024-11-11T08:02:26.976688Z"
50,"1","[{""x"":14.740202553940996,""y"":6.737120211360634,""width"":85.259797446059,""height"":87.0541611624835,""rotation"":0,""original_width"":36,""original_height"":39}]","2024-11-21T04:23:26.263836Z",35,"[{""x"":14.740202553940996,""y"":6.737120211360634,""width"":85.259797446059,""height"":87.0541611624835,""rotation"":0,""labels"":[""Л""],""original_width"":36,""original_height"":39}]",29.254,"/data/upload/8/44b62a2a-99.jpg","Л","2024-11-21T04:23:26.263890Z"
51,"1","[{""x"":0,""y"":7.397622192866579,""width"":99.83707617789518,""height"":82.43064729194188,""rotation"":0,""original_width"":30,""original_height"":41}]","2024-11-21T04:24:09.653534Z",36,"[{""x"":0,""y"":7.397622192866579,""width"":99.83707617789518,""height"":82.43064729194188,""rotation"":0,""labels"":[""Л""],""original_width"":30,""original_height"":41}]",39.72,"/data/upload/8/6ea353be-98.jpg","Л","2024-11-21T04:24:09.653589Z"
52,"1","[{""x"":5.795904887714664,""y"":10.039630118890356,""width"":93.05647291941875,""height"":85.46895640686921,""rotation"":0,""original_width"":32,""original_height"":39}]","2024-11-21T04:25:42.128538Z",37,"[{""x"":5.795904887714664,""y"":10.039630118890356,""width"":93.05647291941875,""height"":85.46895640686921,""rotation"":0,""labels"":[""Л""],""original_width"":32,""original_height"":39}]",16.36,"/data/upload/8/65967c3b-97.jpg","Л","2024-11-21T04:25:42.128595Z"
53,"1","[{""x"":6.6470517593370975,""y"":11.756935270805812,""width"":91.7617389215804,""height"":87.97886393659181,""rotation"":0,""original_width"":22,""original_height"":27}]","2024-11-21T04:25:53.077884Z",38,"[{""x"":6.6470517593370975,""y"":11.756935270805812,""width"":91.7617389215804,""height"":87.97886393659181,""rotation"":0,""labels"":[""л""],""original_width"":22,""original_height"":27}]",9.381,"/data/upload/8/0dd947cd-96.jpg","л","2024-11-21T04:25:53.077942Z"
54,"1","[{""x"":0,""y"":8.58652575957728,""width"":100,""height"":78.20343461030383,""rotation"":0,""original_width"":20,""original_height"":28}]","2024-11-21T04:26:08.042991Z",39,"[{""x"":0,""y"":8.58652575957728,""width"":100,""height"":78.20343461030383,""rotation"":0,""labels"":[""л""],""original_width"":20,""original_height"":28}]",13.549,"/data/upload/8/453505ca-95.jpg","л","2024-11-21T04:26:08.043049Z"
55,"1","[{""x"":7.061366638645371,""y"":12.15323645970938,""width"":87.42644409751412,""height"":82.29854689564068,""rotation"":0,""original_width"":22,""original_height"":28}]","2024-11-21T04:26:18.549729Z",40,"[{""x"":7.061366638645371,""y"":12.15323645970938,""width"":87.42644409751412,""height"":82.29854689564068,""rotation"":0,""labels"":[""л""],""original_width"":22,""original_height"":28}]",8.995,"/data/upload/8/8b57c1ff-94.jpg","л","2024-11-21T04:26:18.549879Z"
56,"1","[{""x"":13.18201833393379,""y"":7.5297225891677675,""width"":84.86850006004565,""height"":88.50726552179657,""rotation"":0,""original_width"":33,""original_height"":37}]","2024-11-21T04:26:36.404294Z",41,"[{""x"":13.18201833393379,""y"":7.5297225891677675,""width"":84.86850006004565,""height"":88.50726552179657,""rotation"":0,""labels"":[""К""],""original_width"":33,""original_height"":37}]",15.034,"/data/upload/8/62e30741-93.jpg","К","2024-11-21T04:26:36.404361Z"
57,"1","[{""x"":8.612093578216218,""y"":12.813738441215325,""width"":90.88507265521795,""height"":76.48612945838838,""rotation"":0,""original_width"":31,""original_height"":43}]","2024-11-21T04:26:50.117859Z",42,"[{""x"":8.612093578216218,""y"":12.813738441215325,""width"":90.88507265521795,""height"":76.48612945838838,""rotation"":0,""labels"":[""К""],""original_width"":31,""original_height"":43}]",12.036,"/data/upload/8/7535c2dd-92.jpg","К","2024-11-21T04:26:50.117911Z"
59,"1","[{""x"":7.986069412753692,""y"":12.417437252311757,""width"":88.26708298306713,""height"":69.35270805812416,""rotation"":0,""original_width"":22,""original_height"":35}]","2024-11-21T04:27:21.335223Z",43,"[{""x"":7.986069412753692,""y"":12.417437252311757,""width"":88.26708298306713,""height"":69.35270805812416,""rotation"":0,""labels"":[""к""],""original_width"":22,""original_height"":35}]",12.779,"/data/upload/8/d0815336-91.jpg","к","2024-11-21T04:27:21.335290Z"
58,"1","[{""x"":7.9436371642448265,""y"":10.039630118890356,""width"":90.47996477322766,""height"":76.75033025099076,""rotation"":0,""original_width"":30,""original_height"":44}]","2024-11-21T04:27:06.619469Z",44,"[{""x"":7.9436371642448265,""y"":10.039630118890356,""width"":90.47996477322766,""height"":76.75033025099076,""rotation"":0,""labels"":[""К""],""original_width"":30,""original_height"":44}]",14.108,"/data/upload/8/2fb80498-90.jpg","К","2024-11-21T04:27:06.619522Z"
60,"1","[{""x"":9.725891677675035,""y"":11.096433289299867,""width"":88.21554381329811,""height"":73.31571994715983,""rotation"":0,""original_width"":24,""original_height"":31}]","2024-11-21T04:27:35.935723Z",45,"[{""x"":9.725891677675035,""y"":11.096433289299867,""width"":88.21554381329811,""height"":73.31571994715983,""rotation"":0,""labels"":[""к""],""original_width"":24,""original_height"":31}]",11.857,"/data/upload/8/cbc65cb4-89.jpg","к","2024-11-21T04:27:35.935792Z"
61,"1","[{""x"":2.8821904647532124,""y"":18.229854689564068,""width"":95.30443136783956,""height"":71.07001321003963,""rotation"":0,""original_width"":22,""original_height"":32}]","2024-11-21T04:27:48.870413Z",46,"[{""x"":2.8821904647532124,""y"":18.229854689564068,""width"":95.30443136783956,""height"":71.07001321003963,""rotation"":0,""labels"":[""к""],""original_width"":22,""original_height"":32}]",11.6,"/data/upload/8/8ecdd7e1-88.jpg","к","2024-11-21T04:27:48.870474Z"
62,"1","[{""x"":7.551739321884633,""y"":7.793923381770146,""width"":88.10362542198737,""height"":84.01585204755615,""rotation"":0,""original_width"":36,""original_height"":49}]","2024-11-21T04:28:08.655294Z",47,"[{""x"":7.551739321884633,""y"":7.793923381770146,""width"":88.10362542198737,""height"":84.01585204755615,""rotation"":0,""labels"":[""Й""],""original_width"":36,""original_height"":49}]",17.553,"/data/upload/8/3e0034c0-87.jpg","Й","2024-11-21T04:28:08.655348Z"
63,"1","[{""x"":9.621907244100111,""y"":6.737120211360634,""width"":85.37255882037917,""height"":84.5442536327609,""rotation"":0,""original_width"":37,""original_height"":49}]","2024-11-21T04:28:20.951616Z",48,"[{""x"":9.621907244100111,""y"":6.737120211360634,""width"":85.37255882037917,""height"":84.5442536327609,""rotation"":0,""labels"":[""Й""],""original_width"":37,""original_height"":49}]",10.873,"/data/upload/8/55b3af31-86.jpg","Й","2024-11-21T04:28:20.951670Z"
64,"1","[{""x"":9.571774548656979,""y"":6.472919418758257,""width"":86.34962571554382,""height"":83.75165125495377,""rotation"":0,""original_width"":24,""original_height"":37}]","2024-11-21T04:28:31.556448Z",49,"[{""x"":9.571774548656979,""y"":6.472919418758257,""width"":86.34962571554382,""height"":83.75165125495377,""rotation"":0,""labels"":[""й""],""original_width"":24,""original_height"":37}]",9.18,"/data/upload/8/10d23f3d-85.jpg","й","2024-11-21T04:28:31.556502Z"
65,"1","[{""x"":7.6301188903566715,""y"":12.549537648612946,""width"":89.15191545574638,""height"":77.80713342140027,""rotation"":0,""original_width"":25,""original_height"":38}]","2024-11-21T04:28:42.089034Z",50,"[{""x"":7.6301188903566715,""y"":12.549537648612946,""width"":89.15191545574638,""height"":77.80713342140027,""rotation"":0,""labels"":[""й""],""original_width"":25,""original_height"":38}]",9.202,"/data/upload/8/62d9856d-84.jpg","й","2024-11-21T04:28:42.089089Z"
66,"1","[{""x"":6.053644247889265,""y"":2.906208718626156,""width"":89.43771179139624,""height"":86.26155878467635,""rotation"":0,""original_width"":23,""original_height"":34}]","2024-11-21T04:28:52.855032Z",51,"[{""x"":6.053644247889265,""y"":2.906208718626156,""width"":89.43771179139624,""height"":86.26155878467635,""rotation"":0,""labels"":[""й""],""original_width"":23,""original_height"":34}]",9.597,"/data/upload/8/d0cbfd76-83.jpg","й","2024-11-21T04:28:52.855093Z"
67,"1","[{""x"":11.694770378428784,""y"":9.379128137384413,""width"":88.30522962157121,""height"":77.4108322324967,""rotation"":0,""original_width"":34,""original_height"":43}]","2024-11-21T04:29:07.504544Z",52,"[{""x"":11.694770378428784,""y"":9.379128137384413,""width"":88.30522962157121,""height"":77.4108322324967,""rotation"":0,""labels"":[""И""],""original_width"":34,""original_height"":43}]",11.92,"/data/upload/8/0a6ae031-82.jpg","И","2024-11-21T04:29:07.504602Z"
68,"1","[{""x"":11.60281814178776,""y"":15.984147952443859,""width"":85.52399823866136,""height"":65.12549537648613,""rotation"":0,""original_width"":36,""original_height"":51}]","2024-11-21T04:29:19.517212Z",53,"[{""x"":11.60281814178776,""y"":15.984147952443859,""width"":85.52399823866136,""height"":65.12549537648613,""rotation"":0,""labels"":[""И""],""original_width"":36,""original_height"":51}]",10.215,"/data/upload/8/b2b89408-81.jpg","И","2024-11-21T04:29:19.517260Z"
69,"1","[{""x"":7.212681638044914,""y"":5.416116248348745,""width"":89.93772409888659,""height"":83.09114927344783,""rotation"":0,""original_width"":35,""original_height"":39}]","2024-11-21T04:29:35.130655Z",54,"[{""x"":7.212681638044914,""y"":5.416116248348745,""width"":89.93772409888659,""height"":83.09114927344783,""rotation"":0,""labels"":[""И""],""original_width"":35,""original_height"":39}]",13.653,"/data/upload/8/795eda13-80.jpg","И","2024-11-21T04:29:35.130715Z"
70,"1","[{""x"":8.430407109403147,""y"":12.021136063408191,""width"":91.56959289059685,""height"":86.12945838837517,""rotation"":0,""original_width"":22,""original_height"":27}]","2024-11-21T04:29:48.798594Z",55,"[{""x"":8.430407109403147,""y"":12.021136063408191,""width"":91.56959289059685,""height"":86.12945838837517,""rotation"":0,""labels"":[""и""],""original_width"":22,""original_height"":27}]",11.174,"/data/upload/8/7b7720c9-79.jpg","и","2024-11-21T04:29:48.798651Z"
71,"1","[{""x"":0.6725111084424162,""y"":12.417437252311757,""width"":96.84159961570793,""height"":81.77014531043592,""rotation"":0,""original_width"":22,""original_height"":28}]","2024-11-21T04:31:29.171134Z",56,"[{""x"":0.6725111084424162,""y"":12.417437252311757,""width"":96.84159961570793,""height"":81.77014531043592,""rotation"":0,""labels"":[""и""],""original_width"":22,""original_height"":28}]",98.568,"/data/upload/8/e23ad608-78.jpg","и","2024-11-21T04:31:29.171189Z"
72,"1","[{""x"":5.733157199471599,""y"":13.870541611624834,""width"":94.2668428005284,""height"":81.10964332892999,""rotation"":0,""original_width"":20,""original_height"":28}]","2024-11-21T04:31:42.671531Z",57,"[{""x"":5.733157199471599,""y"":13.870541611624834,""width"":94.2668428005284,""height"":81.10964332892999,""rotation"":0,""labels"":[""и""],""original_width"":20,""original_height"":28}]",11.453,"/data/upload/8/6ea71e60-77.jpg","и","2024-11-21T04:31:42.671616Z"
73,"1","[{""x"":10.331162027968842,""y"":6.869220607661822,""width"":82.84061403908348,""height"":83.35535006605019,""rotation"":0,""original_width"":29,""original_height"":42}]","2024-11-21T04:32:02.520966Z",58,"[{""x"":10.331162027968842,""y"":6.869220607661822,""width"":82.84061403908348,""height"":83.35535006605019,""rotation"":0,""labels"":[""З""],""original_width"":29,""original_height"":42}]",16.68,"/data/upload/8/c1a95e23-76.jpg","З","2024-11-21T04:32:02.521022Z"
74,"1","[{""x"":8.91677675033025,""y"":15.323645970937912,""width"":91.08322324966974,""height"":77.54293262879787,""rotation"":0,""original_width"":28,""original_height"":45}]","2024-11-21T04:32:15.873672Z",59,"[{""x"":8.91677675033025,""y"":15.323645970937912,""width"":91.08322324966974,""height"":77.54293262879787,""rotation"":0,""labels"":[""З""],""original_width"":28,""original_height"":45}]",10.082,"/data/upload/8/906a3ee4-75.jpg","З","2024-11-21T04:32:15.873726Z"
